No Show,Start A,Start B,Start C,Start D,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Auto Amp,Auto Speaker,Left,Auto Score,Tele Amp,Tele Speaker,Subwoofer,Podium,Wing,Outside,Trap,Passes,Climbed,Onstage Order,Onstage 1st,Onstage 2nd,Onstage 3rd,Harmonized With,Harmonize W 1,Harmonize W 2,Buddy Climb,Climb Time,Park,Spotlit,Spotlit 1,Spotlit 2,Spotlit 3,Floor PU,Source PU,Under Stage,Played D,Received D,Died,Tipped,Broke,Ranking,Ranked 1,Ranked 2,Ranked 3,Amplifications,Tele Score Unamplified,Tele Score Amplified,Tele Score Averaged,Total Amp,Total Speaker,Total Notes,Total Unamplified Score,Total Amplified Score,Total Averaged Score
0.0,0.0,0.2,0.8,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.4,0.2,0.0,1.2,0.8,7.9,1.8,4.5,0.8,0.3,0.2,0.0,0.0,0.0,0.7,1.4,0.6,0.1,0.0,0.9,0.4,0.2,0.0,10.2,0.2,0.4,0.2,0.1,0.0,1.0,0.3,0.9,0.1,0.2,0.0,0.0,0.0,1.9,0.3,0.4,0.2,1.6,14.8,33.8,24.3,1.8,5.8,7.6,22.8,41.8,32.2
0.0,0.2,0.2,0.4,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.0,1.1,0.6,6.6,0.0,6.9,0.9,0.1,0.2,0.0,0.0,0.0,0.5,1.9,0.4,0.1,0.0,0.7,0.2,0.2,0.1,8.3,0.3,0.1,0.1,0.0,0.0,1.0,0.2,0.9,0.1,0.3,0.0,0.0,0.0,2.0,0.2,0.5,0.2,0.4,17.0,37.8,27.4,0.0,8.0,8.0,23.6,44.3,34.0
0.0,0.2,0.1,0.7,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.8,5.8,2.4,4.2,0.4,0.3,0.8,0.0,0.0,0.2,0.6,2.2,0.3,0.2,0.1,0.7,0.2,0.2,0.0,3.8,0.3,0.1,0.1,0.0,0.0,0.9,0.2,0.2,0.2,0.3,0.0,0.0,0.0,1.5,0.6,0.3,0.1,1.2,14.3,34.3,24.3,2.4,5.1,7.5,20.2,40.2,30.2
0.0,0.1,0.4,0.5,0.0,0.5,0.5,0.3,0.1,0.0,0.0,0.1,0.4,0.0,2.2,0.7,12.6,1.2,5.4,1.0,0.1,0.3,0.0,0.0,0.4,0.5,2.3,0.3,0.2,0.0,0.5,0.3,0.1,0.1,3.5,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.2,0.3,0.0,0.0,0.0,1.5,0.6,0.3,0.1,0.3,14.9,34.7,24.8,1.2,7.7,8.8,27.5,47.2,37.4
0.0,0.0,0.3,0.5,0.1,0.3,0.4,0.2,0.2,0.2,0.1,0.2,0.2,0.0,2.2,0.3,11.5,3.8,3.9,0.8,0.3,0.2,0.0,0.0,0.2,0.8,1.1,0.6,0.2,0.0,0.7,0.3,0.2,0.0,6.6,0.0,0.2,0.2,0.0,0.0,1.0,0.3,0.7,0.0,0.1,0.0,0.0,0.0,1.4,0.7,0.2,0.1,1.8,15.5,38.8,27.1,3.8,6.1,9.9,27.0,50.2,38.6
0.0,0.4,0.4,0.2,0.0,0.6,0.5,0.5,0.3,0.1,0.0,0.0,0.0,0.0,2.2,0.8,12.5,1.6,4.5,0.8,0.2,0.2,0.0,0.0,1.6,0.2,2.2,0.1,0.1,0.1,0.9,0.2,0.3,0.0,6.9,0.4,0.2,0.2,0.0,0.0,0.9,0.3,0.6,0.0,0.4,0.0,0.0,0.0,1.7,0.4,0.5,0.1,1.3,13.6,31.8,22.7,1.6,6.7,8.2,26.1,44.3,35.2
0.0,0.0,1.0,0.0,0.0,0.5,0.8,0.6,0.8,0.6,0.1,0.0,0.0,0.0,4.4,0.4,22.9,3.4,4.2,0.5,0.4,0.3,0.0,0.2,0.1,0.5,2.0,0.2,0.2,0.2,0.7,0.2,0.2,0.0,8.4,0.2,0.1,0.1,0.0,0.0,1.0,0.4,0.0,0.2,0.2,0.0,0.0,0.1,1.2,0.8,0.1,0.1,0.2,15.8,38.8,27.3,3.4,8.7,12.2,38.8,61.8,50.2
0.0,0.5,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,5.8,3.1,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,1.4,0.1,0.3,0.0,0.4,0.1,0.2,0.0,2.4,0.2,0.2,0.1,0.1,0.0,0.9,0.2,0.8,0.3,0.5,0.0,0.0,0.0,2.2,0.2,0.5,0.3,1.6,9.3,24.6,17.0,3.1,3.0,6.1,15.2,30.4,22.8
0.0,0.0,0.5,0.3,0.0,0.5,0.4,0.6,0.0,0.0,0.0,0.0,0.2,0.0,1.8,0.5,9.8,1.4,4.9,0.8,0.1,0.0,0.0,0.0,0.0,0.7,1.6,0.4,0.2,0.0,0.6,0.1,0.2,0.0,11.2,0.2,0.2,0.2,0.0,0.0,1.0,0.2,0.8,0.0,0.2,0.0,0.0,0.0,1.3,0.7,0.3,0.0,0.9,14.6,33.6,24.1,1.4,6.7,8.1,24.3,43.3,33.8
0.0,0.0,0.8,0.2,0.0,0.2,0.6,0.6,0.2,0.2,0.1,0.0,0.1,0.0,2.8,0.5,15.2,2.8,1.9,0.5,0.1,0.4,0.0,0.6,0.0,0.7,1.0,0.7,0.0,0.0,0.5,0.0,0.2,0.0,15.8,0.1,0.2,0.2,0.0,0.0,1.0,0.4,0.1,0.0,0.3,0.0,0.0,0.1,1.9,0.3,0.4,0.2,1.2,12.7,26.9,19.8,2.8,4.8,8.2,27.8,42.1,35.0
