No Show,Start A,Start B,Start C,Start D,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Auto Amp,Auto Speaker,Left,Auto Score,Tele Amp,Tele Speaker,Subwoofer,Podium,Wing,Outside,Trap,Passes,Climbed,Onstage Order,Onstage 1st,Onstage 2nd,Onstage 3rd,Harmonized With,Harmonize W 1,Harmonize W 2,Buddy Climb,Climb Time,Park,Spotlit,Spotlit 1,Spotlit 2,Spotlit 3,Floor PU,Source PU,Under Stage,Played D,Received D,Died,Tipped,Broke,Ranking,Ranked 1,Ranked 2,Ranked 3,Amplifications,Tele Score Unamplified,Tele Score Amplified,Tele Score Averaged,Total Amp,Total Speaker,Total Notes,Total Unamplified Score,Total Amplified Score,Total Averaged Score
0,False,True,True,False,1,1,1,0,0,1,1,1,0,2,1,12,5,8,1,1,1,0,0,0,1,4,True,True,False,2,True,True,0,20,True,2,True,True,False,1,1,1,1,1,0,0,0,3,True,True,True,3,20,53,36.5,5,10,13,32,65,48.5
0,True,True,True,False,1,1,1,0,0,0,0,1,0,2,1,12,0,11,1,1,1,0,0,0,1,4,True,True,False,2,True,True,1,22,True,1,True,False,False,1,1,1,1,1,0,0,0,3,True,True,True,2,27,58,42.0,0,12,12,32,65,48.5
0,True,True,True,False,1,1,0,0,0,0,0,1,0,2,1,12,5,7,1,1,1,0,0,3,1,4,True,True,True,2,True,True,0,13,True,1,True,False,False,1,1,1,1,1,0,0,0,3,True,True,True,4,22,49,35.5,5,9,10,29,51,39.0
0,True,True,True,False,1,1,1,1,0,0,1,1,0,3,1,17,5,7,1,1,1,0,0,5,1,4,True,True,False,2,True,True,1,13,True,0,False,False,False,1,0,1,1,1,0,0,0,3,True,True,True,2,21,44,32.0,5,9,11,34,56,44.0
0,False,True,True,True,1,1,1,1,1,1,1,1,0,4,1,22,7,14,1,1,1,0,0,2,1,2,True,True,False,2,True,True,0,20,False,1,True,False,False,1,1,1,0,1,0,0,0,3,True,True,True,4,31,73,52.0,7,16,16,41,83,62.0
0,True,True,True,False,1,1,1,1,1,0,0,0,0,4,1,20,5,9,1,1,1,0,0,10,1,4,True,True,True,2,True,True,0,46,True,1,True,False,False,1,1,1,0,1,0,0,0,3,True,True,True,3,21,48,34.5,5,13,13,39,66,52.5
0,False,True,False,False,1,1,1,1,1,1,0,0,0,6,1,32,5,11,1,1,1,0,1,1,1,4,True,True,True,2,True,True,0,25,True,1,True,False,False,1,1,0,1,1,0,0,1,3,True,True,True,2,29,74,51.5,5,12,16,53,79,65.0
0,True,True,True,False,0,1,0,0,0,0,0,0,0,2,1,12,5,6,1,0,0,0,0,0,1,4,True,True,False,2,True,True,0,7,True,2,True,True,False,1,1,1,1,1,0,0,0,3,True,True,True,4,20,41,30.5,5,7,8,25,46,35.5
0,False,True,True,False,1,1,1,0,0,0,0,1,0,4,1,20,4,8,1,1,0,0,0,0,1,4,True,True,False,2,True,True,0,30,True,1,True,False,False,1,1,1,0,1,0,0,0,2,True,True,False,2,22,46,34.0,4,11,12,42,66,54.0
0,False,True,True,False,1,1,1,1,1,1,0,1,0,5,1,25,5,4,1,1,1,0,1,0,1,4,True,False,False,2,False,True,0,30,True,1,True,False,False,1,1,1,0,1,0,0,1,3,True,True,True,3,19,39,27.0,5,9,13,41,64,52.0
