No Show,Start A,Start B,Start C,Start D,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Auto Amp,Auto Speaker,Left,Auto Score,Tele Amp,Tele Speaker,Subwoofer,Podium,Wing,Outside,Trap,Passes,Climbed,Onstage Order,Onstage 1st,Onstage 2nd,Onstage 3rd,Harmonized With,Harmonize W 1,Harmonize W 2,Buddy Climb,Climb Time,Park,Spotlit,Spotlit 1,Spotlit 2,Spotlit 3,Floor PU,Source PU,Under Stage,Played D,Received D,Died,Tipped,Broke,Ranking,Ranked 1,Ranked 2,Ranked 3,Amplifications,Tele Score Unamplified,Tele Score Amplified,Tele Score Averaged,Total Amp,Total Speaker,Total Notes,Total Unamplified Score,Total Amplified Score,Total Averaged Score
0,0,3,9,0,1,3,1,0,0,1,5,3,0,15,10,95,22,54,9,4,3,0,0,0,8,17,7,1,0,11,5,3,0,122,2,5,3,1,0,12,4,11,1,3,0,0,0,23,4,5,3,19,178,406,292.0,22,69,91,273,501,387.0
0,2,3,5,0,4,2,1,0,0,0,0,1,0,13,7,79,0,83,11,1,2,0,0,0,6,23,5,1,0,8,2,3,1,100,4,1,1,0,0,12,3,11,1,4,0,0,0,24,3,6,3,5,204,453,328.5,0,96,96,283,532,407.5
0,3,1,8,0,2,1,0,0,0,0,0,3,0,10,10,70,29,51,5,4,10,0,0,3,7,27,4,2,1,8,2,3,0,45,4,1,1,0,0,11,2,2,2,4,0,0,0,18,7,4,1,15,172,412,292.0,29,61,90,242,482,362.0
0,1,5,6,0,6,6,4,1,0,0,1,5,0,27,8,151,14,65,12,1,4,0,0,5,6,28,4,2,0,6,4,1,1,42,5,0,0,0,0,12,0,10,2,4,0,0,0,18,7,4,1,4,179,416,297.5,14,92,106,330,567,448.5
0,0,4,6,1,4,5,3,2,2,1,2,3,0,26,4,138,46,47,9,4,3,0,0,2,10,13,7,3,0,8,4,2,0,79,0,2,2,0,0,12,4,8,0,1,0,0,0,17,8,3,1,22,186,465,325.5,46,73,119,324,603,463.5
0,5,5,2,0,7,6,6,4,1,0,0,0,0,26,10,150,19,54,9,3,3,0,0,19,3,26,1,1,1,11,3,4,0,83,5,2,2,0,0,11,4,7,0,5,0,0,0,20,5,6,1,16,163,382,272.5,19,80,99,313,532,422.5
0,0,12,0,0,6,9,7,9,7,1,0,0,0,53,5,275,41,51,6,5,4,0,2,1,6,24,2,2,2,8,2,3,0,101,3,1,1,0,0,12,5,0,2,3,0,0,1,14,9,1,1,3,190,466,328.0,41,104,147,465,741,603.0
0,6,2,4,0,0,2,0,0,0,0,0,0,0,12,5,70,37,24,9,0,0,0,0,0,5,17,1,4,0,5,1,2,0,29,2,3,1,1,0,11,3,10,4,6,0,0,0,26,2,6,4,19,112,295,203.5,37,36,73,182,365,273.5
0,0,6,4,0,6,5,7,0,0,0,0,2,0,21,6,117,17,59,9,1,0,0,0,0,8,19,5,3,0,7,1,3,0,135,2,2,2,0,0,12,3,10,0,2,0,0,0,16,8,4,0,11,175,403,289.0,17,80,97,292,520,406.0
0,0,9,3,0,3,7,7,2,2,1,0,1,0,34,6,182,34,23,6,1,5,0,7,0,8,12,8,0,0,6,0,3,0,190,1,3,3,0,0,12,5,1,0,4,0,0,1,23,4,5,3,14,152,323,237.5,34,57,98,334,505,419.5
